method,episode_index,phase,terminal_cost,reasoning_cost,total_cost,clear_success_proxy,auxiliary_success_proxy,strict_clean_success,oracle_action,final_action,required_modes,actual_path_modes,majority_pair,mismatch_bucket,original_task_id
direct_multistage_exp3,0,trap_pre_switch,0.0,4.430885,4.501785,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/deep/fast/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,1,trap_pre_switch,0.0,4.598955,4.6658550000000005,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,deep/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,2,trap_pre_switch,0.0,8.928925,8.999125,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/deep/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]bad_wifi_calling[PERSONA:Easy]
direct_multistage_exp3,3,trap_pre_switch,0.0,4.848345,4.926745,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,deep/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,4,trap_pre_switch,0.0,4.158435,4.224435,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,deep/fast/deep/fast/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,5,trap_pre_switch,0.0,3.70586,3.7798599999999998,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,6,trap_pre_switch,0.0,9.112385,9.178485,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,deep/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]bad_wifi_calling[PERSONA:Easy]
direct_multistage_exp3,7,trap_pre_switch,0.0,4.00987,4.08107,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,8,trap_pre_switch,0.0,3.964115,4.035715,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,9,trap_pre_switch,0.0,3.6893,3.7571,True,True,True,repair_all,repair_all,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,10,target_post_switch,3.0,4.679345,7.741045,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,11,target_post_switch,13.0,5.709,18.7731,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/fast/fast/deep/fast,mostly_fast_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,12,target_post_switch,18.5,4.54732,23.107219999999998,False,False,False,repair_subset,transfer,fast/deep/deep/deep/deep,fast/deep/deep/fast/fast,mostly_fast_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,13,target_post_switch,0.0,6.15848,6.2268799999999995,True,True,True,repair_all,repair_all,fast/deep/deep/deep/deep,deep/fast/deep/deep/deep,mostly_deep_vs_mostly_deep_required,both_mismatch_types,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
direct_multistage_exp3,14,target_post_switch,6.0,6.004315,12.079515,False,True,False,repair_subset,repair_all,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_vs_mostly_deep_required,all_stage_modes_match,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,15,target_post_switch,13.0,5.292535,18.367135,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,16,target_post_switch,2.0,6.064605,8.128805,True,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/deep/fast/deep/deep,mostly_deep_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,17,target_post_switch,11.0,6.24255,17.30855,False,True,False,repair_all,repair_subset,fast/deep/deep/deep/deep,deep/fast/fast/deep/fast,mostly_fast_vs_mostly_deep_required,both_mismatch_types,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
direct_multistage_exp3,18,target_post_switch,2.0,5.29824,7.36994,True,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/deep/deep/deep/fast,mostly_deep_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,19,target_post_switch,11.0,5.444835,16.500235,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/fast/fast/fast/deep,mostly_fast_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,20,target_post_switch,5.0,6.082815,11.143915,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,deep/fast/fast/fast/deep,mostly_fast_vs_mostly_deep_required,both_mismatch_types,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,21,target_post_switch,18.5,5.401565,23.977565,False,True,False,repair_all,transfer,fast/deep/deep/deep/deep,deep/deep/deep/deep/deep,mostly_deep_vs_mostly_deep_required,deep_on_fast_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
direct_multistage_exp3,22,target_post_switch,13.5,4.689205,18.262805,False,False,False,repair_subset,repair_subset,fast/deep/deep/deep/deep,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_deep_required,fast_on_deep_required,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
