episode_index,repeat_index,dataset_index,schedule_phase,oracle_action,expected_terminal_action,repairability,original_task_id,oracle_selected_blockers,oracle_deferred_blockers,oracle_actions,stage5_success_condition,stage5_required_postchecks,old_final,old_terminal,old_total,old_reasoning,old_modecost_report,old_pair,old_pattern,old_actual_modes,old_required_modes,old_clear,old_aux,old_strict,old_shared,old_path_prob,old_stage_probs,old_route,old_path,old_suffix,old_replay_tools,old_executed_tools,old_missing_blockers,old_missing_tools,old_terminal_reasons,old_transition,old_cause,pf_final,pf_terminal,pf_total,pf_reasoning,pf_modecost_report,pf_pair,pf_pattern,pf_actual_modes,pf_required_modes,pf_clear,pf_aux,pf_strict,pf_shared,pf_path_prob,pf_stage_probs,pf_route,pf_path,pf_suffix,pf_replay_tools,pf_executed_tools,pf_missing_blockers,pf_missing_tools,pf_terminal_reasons,pf_transition,pf_cause,delta_terminal_pf_minus_old,delta_total_pf_minus_old,terminal_improved,terminal_worse,pair_change
40,4,32,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],unseat_sim_card|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,4.12545,4.06075,3.0,mostly_fast_vs_mostly_deep_required,ffdfd on fdddd,ffdfd,fdddd,True,True,True,True,0.002010857592832897,"{""stage1"": 0.11286604129289012, ""stage2"": 0.580340183345054, ""stage3"": 0.2755471930656407, ""stage4"": 0.4456556122135124, ""stage5"": 0.25}",general_stage1_intake > trap_stage2_router > barrier_stage3_gate > trap_stage4_execute > general_stage5_verify,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n5__from__n0008__c03 > stage4_n4__from__n0031__c03 > stage5_n3__from__n0095__c02,stage4_n4__from__n0031__c03 > stage5_n3__from__n0095__c02,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,5.193415,5.134015,5.0,mostly_fast_vs_mostly_deep_required,dffdf on fdddd,dffdf,fdddd,True,True,True,True,0.0010435496233224878,"{""stage1"": 0.0659998857623775, ""stage2"": 0.8281552927940599, ""stage3"": 0.23089298416765203, ""stage4"": 0.3307557436417597, ""stage5"": 0.25}",general_stage1_verify > trap_stage2_router > trap_stage3_network > general_stage4_verify > trap_stage5_terminal,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n4__from__n0011__c02 > stage4_n3__from__n0039__c02 > stage5_n4__from__n0113__c04,stage4_n3__from__n0039__c02 > stage5_n4__from__n0113__c04,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,1.067965,False,False,ffdfd on fdddd -> dffdf on fdddd
41,4,33,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],unseat_sim_card|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.66803,3.60303,1.5,mostly_deep_vs_mostly_deep_required,fdfdd on fdddd,fdfdd,fdddd,True,True,True,True,0.0036236465466781055,"{""stage1"": 0.5862892553160054, ""stage2"": 0.2101585466585799, ""stage3"": 0.47055113005483995, ""stage4"": 0.25, ""stage5"": 0.25}",trap_stage1_intake > general_stage2_roaming > trap_stage3_network > general_stage4_verify > target_stage5_verify,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n4__from__n0018__c02 > stage4_n3__from__n0060__c02 > stage5_n1__from__n0169__c01,stage4_n3__from__n0060__c02 > stage5_n1__from__n0169__c01,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.68345,4.60725,3.0,mostly_fast_vs_mostly_deep_required,fdffd on fdddd,fdffd,fdddd,True,True,True,False,0.0029608008348816577,"{""stage1"": 0.23868080711671597, ""stage2"": 0.2873243985790348, ""stage3"": 0.5249735722646808, ""stage4"": 0.3289589756905137, ""stage5"": 0.25}",barrier_stage1_gate > barrier_stage2_gate > trap_stage3_network > trap_stage4_execute > barrier_stage5_transfer,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n4__from__n0022__c02 > stage4_n4__from__n0072__c03 > stage5_n5__from__n0210__c04,stage4_n4__from__n0072__c03 > stage5_n5__from__n0210__c04,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,1.0154199999999998,False,False,fdfdd on fdddd -> fdffd on fdddd
42,4,34,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],user_abroad_roaming_enabled_off|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission,,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.18489,3.11059,0.0,mostly_deep_vs_mostly_deep_required,fdddd on fdddd,fdddd,fdddd,True,True,True,True,0.03464122194990027,"{""stage1"": 0.5739804985849762, ""stage2"": 0.21896460068337353, ""stage3"": 0.44874549442936723, ""stage4"": 1.0, ""stage5"": 0.6142173151750726}",trap_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n1__from__n0004__c01 > stage3_n2__from__n0015__c02 > stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|get_details_by_id|get_details_by_id,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.930825,3.865925,3.0,mostly_fast_vs_mostly_deep_required,fffdd on fdddd,fffdd,fdddd,True,True,True,True,0.0031311076656934216,"{""stage1"": 0.4240019171442234, ""stage2"": 0.4726178880370874, ""stage3"": 0.25, ""stage4"": 0.25, ""stage5"": 0.25}",trap_stage1_intake > general_stage2_core > trap_stage3_network > general_stage4_verify > target_stage5_verify,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n4__from__n0016__c03 > stage4_n3__from__n0054__c02 > stage5_n1__from__n0149__c01,stage4_n3__from__n0054__c02 > stage5_n1__from__n0149__c01,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|get_details_by_id|get_details_by_id,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.7459349999999998,False,False,fdddd on fdddd -> fffdd on fdddd
49,4,16,target_post_switch,repair_all,repair_all,repairable,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],airplane_mode_on|unseat_sim_card|data_mode_off|user_abroad_roaming_enabled_off|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission,,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_subset,14.0,19.73834,5.67144,3.0,mostly_fast_vs_mostly_deep_required,fdffd on fdddd,fdffd,fdddd,False,False,False,True,0.0012366117835315026,"{""stage1"": 0.15667249629452867, ""stage2"": 0.13695490599678414, ""stage3"": 0.922110581767042, ""stage4"": 0.25, ""stage5"": 0.25}",barrier_stage1_gate > general_stage2_roaming > trap_stage3_network > trap_stage4_execute > target_stage5_verify,stage1_n5__from__root__c05 > stage2_n4__from__n0005__c02 > stage3_n4__from__n0021__c02 > stage4_n4__from__n0069__c03 > stage5_n1__from__n0200__c01,stage4_n4__from__n0069__c03 > stage5_n1__from__n0200__c01,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|grant_app_permission,check_network_status|check_sim_status|check_network_mode_preference|check_wifi_calling_status|check_app_permissions|can_send_mms|check_apn_settings|can_send_mms|get_details_by_id|get_details_by_id,break_apn_mms_setting,reboot_device,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,repair_all,0.0,4.720985,4.657785,3.0,mostly_fast_vs_mostly_deep_required,fffdd on fdddd,fffdd,fdddd,True,True,True,True,0.0038021509933552993,"{""stage1"": 0.21798985843440752, ""stage2"": 0.626666256724185, ""stage3"": 0.1714081982545606, ""stage4"": 0.32475449116940225, ""stage5"": 0.5}",trap_stage1_intake > general_stage2_core > trap_stage3_network > general_stage4_repair > target_stage5_verify,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n4__from__n0016__c03 > stage4_n2__from__n0054__c01 > stage5_n1__from__n0148__c01,stage4_n2__from__n0054__c01 > stage5_n1__from__n0148__c01,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_sim_status|check_network_mode_preference|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|get_details_by_id|get_details_by_id,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,-14.0,-15.017355000000002,True,False,fdffd on fdddd -> fffdd on fdddd
51,5,33,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],unseat_sim_card|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.15353,3.07923,0.0,mostly_deep_vs_mostly_deep_required,fdddd on fdddd,fdddd,fdddd,True,True,True,True,0.04823163488421194,"{""stage1"": 0.5817899658840688, ""stage2"": 0.32948339704959423, ""stage3"": 0.430470044445761, ""stage4"": 1.0, ""stage5"": 0.5845064209615197}",trap_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n1__from__n0004__c01 > stage3_n2__from__n0015__c02 > stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.401625,4.340725,3.0,mostly_fast_vs_mostly_deep_required,ffddf on fdddd,ffddf,fdddd,True,True,True,True,0.003508130809608548,"{""stage1"": 0.17002638503319417, ""stage2"": 0.45373390617831716, ""stage3"": 0.5507234812360129, ""stage4"": 0.6330281783341273, ""stage5"": 0.1304372359104297}",general_stage1_intake > trap_stage2_router > general_stage3_network > general_stage4_verify > trap_stage5_terminal,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n3__from__n0008__c01 > stage4_n3__from__n0029__c02 > stage5_n4__from__n0088__c04,stage4_n3__from__n0029__c02 > stage5_n4__from__n0088__c04,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,1.2480950000000002,False,False,fdddd on fdddd -> ffddf on fdddd
61,6,33,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],unseat_sim_card|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.57565,3.50805,0.0,mostly_deep_vs_mostly_deep_required,fdddd on fdddd,fdddd,fdddd,True,True,True,True,0.026290630421458787,"{""stage1"": 0.36421039696352603, ""stage2"": 0.747137136551942, ""stage3"": 0.5796950442686755, ""stage4"": 0.3333333333333333, ""stage5"": 0.5}",trap_stage1_intake > general_stage2_roaming > general_stage3_network > general_stage4_repair > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n3__from__n0018__c01 > stage4_n2__from__n0059__c01 > stage5_n2__from__n0166__c02,stage4_n2__from__n0059__c01 > stage5_n2__from__n0166__c02,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.68765,4.61985,3.0,mostly_fast_vs_mostly_deep_required,fdffd on fdddd,fdffd,fdddd,True,True,True,False,0.003140137268877194,"{""stage1"": 0.3528057268157067, ""stage2"": 0.09623975378773736, ""stage3"": 0.5555070426751197, ""stage4"": 0.6659305303605705, ""stage5"": 0.25}",barrier_stage1_gate > general_stage2_roaming > trap_stage3_network > trap_stage4_execute > barrier_stage5_transfer,stage1_n5__from__root__c05 > stage2_n4__from__n0005__c02 > stage3_n4__from__n0021__c02 > stage4_n4__from__n0069__c03 > stage5_n5__from__n0200__c04,stage4_n4__from__n0069__c03 > stage5_n5__from__n0200__c04,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,1.1119999999999997,False,False,fdddd on fdddd -> fdffd on fdddd
63,6,35,target_post_switch,repair_all,repair_all,repairable,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None],airplane_mode_on|user_abroad_roaming_enabled_off|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission,,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,5.61638,5.55978,4.5,mostly_fast_vs_mostly_deep_required,fdfff on fdddd,fdfff,fdddd,True,True,True,True,0.008017441244239063,"{""stage1"": 0.3586956290636551, ""stage2"": 0.7265643638266918, ""stage3"": 0.385096643974546, ""stage4"": 0.3195404671801298, ""stage5"": 0.25}",trap_stage1_intake > general_stage2_roaming > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n4__from__n0018__c02 > stage4_n4__from__n0060__c03 > stage5_n4__from__n0170__c03,stage4_n4__from__n0060__c03 > stage5_n4__from__n0170__c03,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|grant_app_permission|reboot_device,check_network_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|get_details_by_id|get_details_by_id,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,5.39391,5.32191,3.0,mostly_fast_vs_mostly_deep_required,fddff on fdddd,fddff,fdddd,True,True,True,True,0.0033393607935067915,"{""stage1"": 0.3553772389746342, ""stage2"": 0.4231547048651152, ""stage3"": 0.2665188767866174, ""stage4"": 0.33327794757777096, ""stage5"": 0.25}",barrier_stage1_gate > barrier_stage2_gate > barrier_stage3_gate > trap_stage4_execute > trap_stage5_terminal,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n5__from__n0022__c03 > stage4_n4__from__n0073__c03 > stage5_n4__from__n0214__c03,stage4_n4__from__n0073__c03 > stage5_n4__from__n0214__c03,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|grant_app_permission|reboot_device,check_network_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|get_details_by_id|get_details_by_id,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,-0.2224700000000004,False,False,fdfff on fdddd -> fddff on fdddd
64,6,36,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None],unseat_sim_card|data_mode_off|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.4907,3.423,0.0,mostly_deep_vs_mostly_deep_required,fdddd on fdddd,fdddd,fdddd,True,True,True,True,0.024300656018052567,"{""stage1"": 0.33015005564357175, ""stage2"": 0.6906556082323577, ""stage3"": 0.6216039382447892, ""stage4"": 0.6857902626959357, ""stage5"": 0.25}",trap_stage1_intake > general_stage2_roaming > general_stage3_network > general_stage4_verify > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n3__from__n0018__c01 > stage4_n3__from__n0059__c02 > stage5_n2__from__n0167__c02,stage4_n3__from__n0059__c02 > stage5_n2__from__n0167__c02,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,5.507535,5.443435,5.0,mostly_fast_vs_mostly_deep_required,dffdf on fdddd,dffdf,fdddd,True,True,True,True,0.0028419958550526996,"{""stage1"": 0.22514863246741296, ""stage2"": 0.39496645263348884, ""stage3"": 0.29098209819765064, ""stage4"": 0.3294950548082007, ""stage5"": 0.3333333333333333}",target_stage1_handoff > general_stage2_core > trap_stage3_network > barrier_stage4_gate > trap_stage5_terminal,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n4__from__n0013__c03 > stage4_n5__from__n0045__c04 > stage5_n4__from__n0128__c02,stage4_n5__from__n0045__c04 > stage5_n4__from__n0128__c02,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,2.016835,False,False,fdddd on fdddd -> dffdf on fdddd
94,9,36,target_post_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None],unseat_sim_card|data_mode_off|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.80007,3.72477,0.0,mostly_deep_vs_mostly_deep_required,fdddd on fdddd,fdddd,fdddd,True,True,True,True,0.004545896276562016,"{""stage1"": 0.20361317252551014, ""stage2"": 0.12510130432127736, ""stage3"": 0.9391708242388048, ""stage4"": 0.2399061607051571, ""stage5"": 0.7920741145836939}",barrier_stage1_gate > barrier_stage2_gate > general_stage3_network > general_stage4_repair > target_stage5_decision,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n3__from__n0022__c01 > stage4_n2__from__n0071__c01 > stage5_n2__from__n0206__c02,stage4_n2__from__n0071__c01 > stage5_n2__from__n0206__c02,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.64671,4.57451,3.0,mostly_fast_vs_mostly_deep_required,fdfdf on fdddd,fdfdf,fdddd,True,True,True,True,0.0011817219488755384,"{""stage1"": 0.31109806257433253, ""stage2"": 0.5645068769632027, ""stage3"": 0.7020166464262109, ""stage4"": 0.019171015997284834, ""stage5"": 0.49998412887807775}",barrier_stage1_gate > barrier_stage2_gate > trap_stage3_network > barrier_stage4_gate > trap_stage5_terminal,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n4__from__n0022__c02 > stage4_n5__from__n0072__c04 > stage5_n4__from__n0211__c02,stage4_n5__from__n0072__c04 > stage5_n4__from__n0211__c02,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,check_network_status|check_sim_status|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.8466399999999998,False,False,fdddd on fdddd -> fdfdf on fdddd
66,6,9,target_post_switch,repair_subset,repair_subset,partially_repairable,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],airplane_mode_on|unseat_sim_card|data_mode_off|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions,user_abroad_roaming_disabled_on|data_usage_exceeded,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,partial_resolution_only,,repair_subset,14.0,20.78316,6.72066,5.0,mostly_fast_vs_mostly_deep_required,dfdff on fdddd,dfdff,fdddd,False,False,False,True,0.010173422058769713,"{""stage1"": 0.23928857650600033, ""stage2"": 0.9279908484597739, ""stage3"": 0.7330293862560925, ""stage4"": 0.25, ""stage5"": 0.25}",target_stage1_handoff > trap_stage2_router > barrier_stage3_gate > trap_stage4_execute > trap_stage5_terminal,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n5__from__n0014__c03 > stage4_n4__from__n0049__c03 > stage5_n4__from__n0141__c03,stage4_n4__from__n0049__c03 > stage5_n4__from__n0141__c03,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device,check_network_status|check_sim_status|check_network_mode_preference|check_apn_settings|check_wifi_calling_status|can_send_mms,break_app_both_permissions,grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,matched_terminal_action,subset_mismatch_with_missing_oracle_repair_tools,repair_subset,14.0,18.622145,4.560245,3.0,mostly_fast_vs_mostly_deep_required,fffdd on fdddd,fffdd,fdddd,False,False,False,True,0.005803224689750712,"{""stage1"": 0.2627781043521207, ""stage2"": 0.44599506809607775, ""stage3"": 0.5967032605367285, ""stage4"": 0.33193399638093735, ""stage5"": 0.25}",general_stage1_intake > trap_stage2_router > trap_stage3_network > general_stage4_verify > general_stage5_verify,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n4__from__n0008__c02 > stage4_n3__from__n0030__c02 > stage5_n3__from__n0090__c03,stage4_n3__from__n0030__c02 > stage5_n3__from__n0090__c03,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,check_network_status|check_sim_status|check_network_mode_preference|check_apn_settings|check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|can_send_mms,,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,matched_terminal_action,subset_mismatch_terminal_decision,0.0,-2.161014999999999,False,False,dfdff on fdddd -> fffdd on fdddd
