job_index,original_task_id,instance_id,expected_terminal_action,repairability,persona_level,num_blockers,required_modes,agent_modes,mode_match_exact,mode_matched_candidate_count,path_agent_ids,route_labels,lane_sequence,leaf_type,route_preference_score,path_base_cost_sum,oracle_action,final_action,terminal_cost,raw_terminal_penalty,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,subset_clean,subset_mismatch,policy_clean,policy_violation_count,clear_success,auxiliary_success,strict_clean,selected_blocker_ids,deferred_blocker_ids,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count,json_retry_count,stage_llm_calls,stage_json_retries,policy_action_violation,policy_communication_violation,stage5_executed_tool_names,decision,delete_reasons,keep_basis
0,[mms_issue]break_app_both_permissions[PERSONA:Hard],telecom_mms_task_mms_issuebreak_app_both_permissionsPERSONA_Hard,repair_all,repairable,Hard,1,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,1.5,1.5,1.5,0.0,2.82676,0.05310000000000001,4.37986,False,False,True,True,0,False,True,False,"[""bad_wifi_calling"", ""break_app_both_permissions""]",[],30544.0,678.0,31222.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,clear_success_false;repair_task_subset_clean_false,
1,[mms_issue]break_app_sms_permission|data_usage_exceeded[PERSONA:None],telecom_mms_task_mms_issuebreak_app_sms_permission__data_usage_exceededPERSONA_None,repair_subset,partially_repairable,None,2,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_subset,repair_all,7.0,7.0,5.0,2.0,2.93267,0.05310000000000001,9.985769999999999,False,False,True,False,1,False,False,False,"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],31270.0,808.0,32078.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",True,False,"[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
2,[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__break_app_both_permissions__data_usage_exceededPERSONA_Hard,repair_subset,partially_repairable,Hard,4,deep/deep/deep/deep/deep,deep/deep/deep/deep/deep,True,8,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",target_stage1_handoff > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,target_specialist/target_specialist/target_specialist/target_specialist/target_specialist,shared,15.25,0.76,repair_subset,repair_all,5.0,5.0,5.0,0.0,4.542825,0.07600000000000001,9.618825,False,False,True,True,0,False,True,False,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_both_permissions"", ""data_usage_exceeded""]",[],47489.0,1489.0,48978.0,15,0,"[4, 4, 3, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""get_details_by_id"", ""get_details_by_id""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
3,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off[PERSONA:None],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_storage_permission__data_mode_offPERSONA_None,repair_all,repairable,None,6,deep/fast/deep/deep/deep,deep/fast/deep/deep/deep,True,52,"[""stage1_n3__from__root__c03"", ""stage2_n2__from__n0003__c02"", ""stage3_n2__from__n0013__c01"", ""stage4_n1__from__n0043__c01"", ""stage5_n1__from__n0122__c01""]",target_stage1_handoff > general_stage2_core > target_stage3_roaming > target_stage4_repair > target_stage5_verify,target_specialist/general/target_specialist/target_specialist/target_specialist,shared,13.25,0.741,repair_all,repair_all,0.0,0.0,0.0,0.0,3.98191,0.0741,4.05601,True,True,False,True,0,True,True,True,"[""airplane_mode_on"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],41382.0,1366.0,42748.0,12,0,"[4, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",keep,,mode_match_exact=1;terminal_cost<=2;clear_success=1;repair_task_subset_clean=1
4,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded[PERSONA:Hard],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_both_permissions__data_mode_off__data_usage_exceededPERSONA_Hard,repair_subset,partially_repairable,Hard,7,deep/deep/deep/deep/deep,deep/deep/deep/deep/deep,True,8,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",target_stage1_handoff > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,target_specialist/target_specialist/target_specialist/target_specialist/target_specialist,shared,15.25,0.76,repair_subset,repair_subset,11.0,11.0,9.0,2.0,4.758045,0.07600000000000001,15.834045,False,False,True,False,1,False,False,False,"[""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling""]",49873.0,1526.0,51399.0,14,0,"[4, 3, 2, 2, 3]","[0, 0, 0, 0, 0]",True,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""check_network_status"", ""can_send_mms""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
5,[mms_issue]break_app_sms_permission[PERSONA:None],telecom_mms_task_mms_issuebreak_app_sms_permissionPERSONA_None,repair_all,repairable,None,1,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,1.5,1.5,1.5,0.0,2.770065,0.05310000000000001,4.323165,False,False,True,True,0,False,True,False,"[""bad_wifi_calling"", ""break_app_sms_permission""]",[],29761.0,707.0,30468.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,clear_success_false;repair_task_subset_clean_false,
6,[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],telecom_mms_task_mms_issuebreak_app_both_permissions__data_usage_exceededPERSONA_Hard,repair_subset,partially_repairable,Hard,2,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_subset,repair_all,7.0,7.0,5.0,2.0,3.038495,0.05310000000000001,10.091595,False,False,True,False,1,False,False,False,"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_both_permissions""]",[],31843.0,976.0,32819.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",True,False,"[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
7,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_wifi_calling__break_app_storage_permissionPERSONA_Easy,repair_all,repairable,Easy,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,2.95681,0.05310000000000001,3.00991,True,True,False,True,0,True,True,True,"[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],31262.0,881.0,32143.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",keep,,mode_match_exact=1;terminal_cost<=2;clear_success=1;repair_task_subset_clean=1
8,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_usage_exceeded[PERSONA:None],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_app_sms_permission__data_usage_exceededPERSONA_None,repair_subset,partially_repairable,None,5,deep/deep/deep/deep/deep,deep/deep/deep/deep/deep,True,8,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",target_stage1_handoff > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,target_specialist/target_specialist/target_specialist/target_specialist/target_specialist,shared,15.25,0.76,repair_subset,repair_subset,9.0,9.0,7.0,2.0,4.23793,0.07600000000000001,13.313930000000001,False,False,True,False,1,False,False,False,"[""break_app_sms_permission""]","[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling""]",44950.0,1227.0,46177.0,14,0,"[4, 3, 2, 2, 3]","[0, 0, 0, 0, 0]",True,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""check_network_status"", ""can_send_mms""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_storage_permission__unseat_sim_cardPERSONA_Easy,repair_all,repairable,Easy,6,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,True,56,"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n1__from__n0075__c01""]",general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,general/target_specialist/target_specialist/target_specialist/target_specialist,shared,13.25,0.752,repair_all,repair_all,0.0,0.0,0.0,0.0,5.844175,0.0752,5.919375,True,True,False,True,0,True,True,True,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],62191.0,1641.0,63832.0,15,0,"[2, 4, 2, 4, 3]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",keep,,mode_match_exact=1;terminal_cost<=2;clear_success=1;repair_task_subset_clean=1
