episode_index,repeat_index,dataset_index,schedule_phase,oracle_action,expected_terminal_action,repairability,original_task_id,oracle_selected_blockers,oracle_deferred_blockers,oracle_actions,stage5_success_condition,stage5_required_postchecks,old_final,old_terminal,old_total,old_reasoning,old_modecost_report,old_pair,old_pattern,old_actual_modes,old_required_modes,old_clear,old_aux,old_strict,old_shared,old_path_prob,old_stage_probs,old_route,old_path,old_suffix,old_replay_tools,old_executed_tools,old_missing_blockers,old_missing_tools,old_terminal_reasons,old_transition,old_cause,pf_final,pf_terminal,pf_total,pf_reasoning,pf_modecost_report,pf_pair,pf_pattern,pf_actual_modes,pf_required_modes,pf_clear,pf_aux,pf_strict,pf_shared,pf_path_prob,pf_stage_probs,pf_route,pf_path,pf_suffix,pf_replay_tools,pf_executed_tools,pf_missing_blockers,pf_missing_tools,pf_terminal_reasons,pf_transition,pf_cause,delta_terminal_pf_minus_old,delta_total_pf_minus_old,terminal_improved,terminal_worse,pair_change
0,0,1,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],airplane_mode_on|bad_wifi_calling|break_app_storage_permission,,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.81779,3.74779,1.0,mostly_fast_vs_mostly_fast_required,fffdd on fffff,fffdd,fffff,True,True,True,True,0.0018518518518518515,"{""stage1"": 0.2, ""stage2"": 0.3333333333333333, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.3333333333333333}",barrier_stage1_gate > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > target_stage5_decision,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n4__from__n0020__c02 > stage4_n5__from__n0066__c04 > stage5_n2__from__n0191__c01,stage4_n5__from__n0066__c04 > stage5_n2__from__n0191__c01,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.81779,3.74779,1.0,mostly_fast_vs_mostly_fast_required,fffdd on fffff,fffdd,fffff,True,True,True,True,0.0018518518518518515,"{""stage1"": 0.2, ""stage2"": 0.3333333333333333, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.3333333333333333}",barrier_stage1_gate > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > target_stage5_decision,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n4__from__n0020__c02 > stage4_n5__from__n0066__c04 > stage5_n2__from__n0191__c01,stage4_n5__from__n0066__c04 > stage5_n2__from__n0191__c01,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.0,False,False,fffdd on fffff -> fffdd on fffff
1,0,3,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],airplane_mode_on|bad_wifi_calling|break_app_sms_permission,,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,5.50665,5.43225,2.5,mostly_deep_vs_mostly_fast_required,ddddd on fffff,ddddd,fffff,True,True,True,True,0.01715698736842547,"{""stage1"": 0.20588384842110563, ""stage2"": 0.3333333333333333, ""stage3"": 0.5, ""stage4"": 1.0, ""stage5"": 0.5}",target_stage1_handoff > target_stage2_router > target_stage3_apn > target_stage4_repair > target_stage5_verify,stage1_n3__from__root__c03 > stage2_n1__from__n0003__c01 > stage3_n1__from__n0012__c01 > stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,5.50665,5.43225,2.5,mostly_deep_vs_mostly_fast_required,ddddd on fffff,ddddd,fffff,True,True,True,True,0.01715698736842547,"{""stage1"": 0.20588384842110563, ""stage2"": 0.3333333333333333, ""stage3"": 0.5, ""stage4"": 1.0, ""stage5"": 0.5}",target_stage1_handoff > target_stage2_router > target_stage3_apn > target_stage4_repair > target_stage5_verify,stage1_n3__from__root__c03 > stage2_n1__from__n0003__c01 > stage3_n1__from__n0012__c01 > stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,toggle_airplane_mode|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.0,False,False,ddddd on fffff -> ddddd on fffff
2,0,6,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling[PERSONA:Easy],bad_wifi_calling,,toggle_wifi_calling,can_send_mms_true,can_send_mms,repair_all,0.0,7.76563,7.68823,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.0024456309993023,"{""stage1"": 0.18381795995757366, ""stage2"": 0.23944536038729014, ""stage3"": 0.44451513167889, ""stage4"": 0.25, ""stage5"": 0.5}",barrier_stage1_gate > trap_stage2_router > barrier_stage3_gate > general_stage4_repair > target_stage5_verify,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n5__from__n0020__c03 > stage4_n2__from__n0067__c01 > stage5_n1__from__n0192__c01,stage4_n2__from__n0067__c01 > stage5_n1__from__n0192__c01,toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling,check_wifi_calling_status|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,9.167505,9.090105,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.0024456309993023,"{""stage1"": 0.18381795995757366, ""stage2"": 0.23944536038729014, ""stage3"": 0.44451513167889, ""stage4"": 0.25, ""stage5"": 0.5}",barrier_stage1_gate > trap_stage2_router > barrier_stage3_gate > general_stage4_repair > target_stage5_verify,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n5__from__n0020__c03 > stage4_n2__from__n0067__c01 > stage5_n1__from__n0192__c01,stage4_n2__from__n0067__c01 > stage5_n1__from__n0192__c01,toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling|toggle_wifi_calling,check_wifi_calling_status|can_send_mms|check_network_status|check_apn_settings,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,1.4018750000000004,False,False,ffddd on fffff -> ffddd on fffff
3,0,15,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],bad_wifi_calling|break_app_storage_permission,,toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,4.521355,4.444255,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.009437517770935844,"{""stage1"": 0.22650042650246027, ""stage2"": 0.3333333333333333, ""stage3"": 0.25, ""stage4"": 1.0, ""stage5"": 0.5}",general_stage1_intake > general_stage2_core > target_stage3_roaming > target_stage4_repair > target_stage5_verify,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n2__from__n0007__c01 > stage4_n1__from__n0025__c01 > stage5_n1__from__n0076__c01,stage4_n1__from__n0025__c01 > stage5_n1__from__n0076__c01,toggle_wifi_calling|grant_app_permission,check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_network_mode_preference,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.588105,4.511005,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.009515977866065662,"{""stage1"": 0.22838346878557592, ""stage2"": 0.3333333333333333, ""stage3"": 0.25, ""stage4"": 1.0, ""stage5"": 0.5}",general_stage1_intake > general_stage2_core > target_stage3_roaming > target_stage4_repair > target_stage5_verify,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n2__from__n0007__c01 > stage4_n1__from__n0025__c01 > stage5_n1__from__n0076__c01,stage4_n1__from__n0025__c01 > stage5_n1__from__n0076__c01,toggle_wifi_calling|grant_app_permission,check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_apn_settings,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.06674999999999986,False,False,ffddd on fffff -> ffddd on fffff
4,0,17,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],bad_wifi_calling|break_app_sms_permission,,toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.398965,3.335065,1.0,mostly_fast_vs_mostly_fast_required,ffddf on fffff,ffddf,fffff,True,True,True,True,0.0024914471555965243,"{""stage1"": 0.19950027506282325, ""stage2"": 0.23561471944923443, ""stage3"": 0.31802188923260993, ""stage4"": 0.6666666666666666, ""stage5"": 0.25}",general_stage1_intake > general_stage2_core > general_stage3_network > general_stage4_verify > trap_stage5_terminal,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n3__from__n0007__c02 > stage4_n3__from__n0026__c02 > stage5_n4__from__n0078__c04,stage4_n3__from__n0026__c02 > stage5_n4__from__n0078__c04,toggle_wifi_calling|grant_app_permission,check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.4040049999999997,3.340105,1.0,mostly_fast_vs_mostly_fast_required,ffddf on fffff,ffddf,fffff,True,True,True,True,0.0025063023378516284,"{""stage1"": 0.20105151971497073, ""stage2"": 0.2350579196655229, ""stage3"": 0.3182016748288598, ""stage4"": 0.6666666666666666, ""stage5"": 0.25}",general_stage1_intake > general_stage2_core > general_stage3_network > general_stage4_verify > trap_stage5_terminal,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n3__from__n0007__c02 > stage4_n3__from__n0026__c02 > stage5_n4__from__n0078__c04,stage4_n3__from__n0026__c02 > stage5_n4__from__n0078__c04,toggle_wifi_calling|grant_app_permission,check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.005039999999999711,False,False,ffddf on fffff -> ffddf on fffff
5,0,18,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],bad_network_preference|bad_wifi_calling|break_app_storage_permission,,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.13489,3.07939,0.5,mostly_fast_vs_mostly_fast_required,dffff on fffff,dffff,fffff,True,True,True,True,0.0016706773487812833,"{""stage1"": 0.24057753822450484, ""stage2"": 0.3333333333333333, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.25}",general_stage1_verify > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n4__from__n0011__c02 > stage4_n4__from__n0039__c03 > stage5_n4__from__n0114__c03,stage4_n4__from__n0039__c03 > stage5_n4__from__n0114__c03,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,check_network_mode_preference|check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_sim_status,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.13489,3.07939,0.5,mostly_fast_vs_mostly_fast_required,dffff on fffff,dffff,fffff,True,True,True,True,0.00168548980409776,"{""stage1"": 0.24271053179007746, ""stage2"": 0.3333333333333333, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.25}",general_stage1_verify > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n4__from__n0011__c02 > stage4_n4__from__n0039__c03 > stage5_n4__from__n0114__c03,stage4_n4__from__n0039__c03 > stage5_n4__from__n0114__c03,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,check_network_mode_preference|check_wifi_calling_status|check_app_permissions|can_send_mms|check_network_status|check_sim_status,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.0,False,False,dffff on fffff -> dffff on fffff
6,0,19,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],data_mode_off|bad_wifi_calling|break_app_sms_permission,,toggle_data|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,4.187645000000001,4.121845,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.0027389138493897373,"{""stage1"": 0.2465022464450764, ""stage2"": 0.2, ""stage3"": 0.3333333333333333, ""stage4"": 0.6666666666666666, ""stage5"": 0.25}",trap_stage1_intake > trap_stage2_router > general_stage3_network > general_stage4_verify > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c03 > stage3_n3__from__n0017__c01 > stage4_n3__from__n0056__c02 > stage5_n2__from__n0157__c02,stage4_n3__from__n0056__c02 > stage5_n2__from__n0157__c02,toggle_data|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,4.194645,4.128845,1.5,mostly_deep_vs_mostly_fast_required,ffddd on fffff,ffddd,fffff,True,True,True,True,0.0027632283675530353,"{""stage1"": 0.2486905530797732, ""stage2"": 0.2, ""stage3"": 0.3333333333333333, ""stage4"": 0.6666666666666666, ""stage5"": 0.25}",trap_stage1_intake > trap_stage2_router > general_stage3_network > general_stage4_verify > target_stage5_decision,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c03 > stage3_n3__from__n0017__c01 > stage4_n3__from__n0056__c02 > stage5_n2__from__n0157__c02,stage4_n3__from__n0056__c02 > stage5_n2__from__n0157__c02,toggle_data|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,0.006999999999999673,False,False,ffddd on fffff -> ffddd on fffff
7,0,20,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],bad_network_preference|bad_wifi_calling|break_app_sms_permission,,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.94881,3.88561,1.0,mostly_fast_vs_mostly_fast_required,dffdf on fffff,dffdf,fffff,True,True,True,True,0.0022579748872396123,"{""stage1"": 0.20508897218168062, ""stage2"": 0.3963503989313324, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.3333333333333333}",target_stage1_handoff > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > trap_stage5_terminal,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n4__from__n0014__c02 > stage4_n5__from__n0048__c04 > stage5_n4__from__n0138__c02,stage4_n5__from__n0048__c04 > stage5_n4__from__n0138__c02,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,check_network_mode_preference|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.92287,3.85967,1.0,mostly_fast_vs_mostly_fast_required,dffdf on fffff,dffdf,fffff,True,True,True,True,0.0022781798765453996,"{""stage1"": 0.20692416552819815, ""stage2"": 0.3963503989313324, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.3333333333333333}",target_stage1_handoff > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > trap_stage5_terminal,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n4__from__n0014__c02 > stage4_n5__from__n0048__c04 > stage5_n4__from__n0138__c02,stage4_n5__from__n0048__c04 > stage5_n4__from__n0138__c02,set_network_mode_preference|toggle_wifi_calling|grant_app_permission,check_network_mode_preference|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,-0.025939999999999852,False,False,dffdf on fffff -> dffdf on fffff
8,0,21,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],data_mode_off|bad_wifi_calling|break_app_storage_permission,,toggle_data|toggle_wifi_calling|grant_app_permission,can_send_mms_true,can_send_mms,repair_all,0.0,3.8190950000000004,3.754195,1.0,mostly_fast_vs_mostly_fast_required,fffdd on fffff,fffdd,fffff,True,True,True,True,0.0034583864730471274,"{""stage1"": 0.19453490382083732, ""stage2"": 0.4266652087769995, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.5}",general_stage1_intake > trap_stage2_router > trap_stage3_network > general_stage4_repair > target_stage5_decision,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n4__from__n0008__c02 > stage4_n2__from__n0030__c01 > stage5_n2__from__n0089__c02,stage4_n2__from__n0030__c01 > stage5_n2__from__n0089__c02,toggle_data|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.7749650000000003,3.710065,1.0,mostly_fast_vs_mostly_fast_required,fffdd on fffff,fffdd,fffff,True,True,True,True,0.0034885786704455008,"{""stage1"": 0.19620957650722665, ""stage2"": 0.42671662403597455, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.5}",general_stage1_intake > trap_stage2_router > trap_stage3_network > general_stage4_repair > target_stage5_decision,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n4__from__n0008__c02 > stage4_n2__from__n0030__c01 > stage5_n2__from__n0089__c02,stage4_n2__from__n0030__c01 > stage5_n2__from__n0089__c02,toggle_data|toggle_wifi_calling|grant_app_permission,check_network_status|check_wifi_calling_status|check_app_permissions|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,-0.04413,False,False,fffdd on fffff -> fffdd on fffff
9,0,22,trap_pre_switch,repair_all,repair_all,repairable,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],airplane_mode_on|bad_wifi_calling,,toggle_airplane_mode|toggle_wifi_calling,can_send_mms_true,can_send_mms,repair_all,0.0,3.764295,3.703695,1.0,mostly_fast_vs_mostly_fast_required,fdffd on fffff,fdffd,fffff,True,True,True,True,0.0010888595489931372,"{""stage1"": 0.2353780204885053, ""stage2"": 0.22204816848743514, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.25}",trap_stage1_intake > barrier_stage2_gate > trap_stage3_network > trap_stage4_execute > general_stage5_verify,stage1_n4__from__root__c04 > stage2_n5__from__n0004__c05 > stage3_n4__from__n0019__c02 > stage4_n4__from__n0063__c03 > stage5_n3__from__n0180__c02,stage4_n4__from__n0063__c03 > stage5_n3__from__n0180__c02,toggle_airplane_mode|toggle_wifi_calling,check_network_status|check_wifi_calling_status|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,repair_all,0.0,3.424045,3.363445,1.0,mostly_fast_vs_mostly_fast_required,fdffd on fffff,fdffd,fffff,True,True,True,True,0.001098572075440097,"{""stage1"": 0.237608008134763, ""stage2"": 0.22192627275094706, ""stage3"": 0.3333333333333333, ""stage4"": 0.25, ""stage5"": 0.25}",trap_stage1_intake > barrier_stage2_gate > trap_stage3_network > trap_stage4_execute > general_stage5_verify,stage1_n4__from__root__c04 > stage2_n5__from__n0004__c05 > stage3_n4__from__n0019__c02 > stage4_n4__from__n0063__c03 > stage5_n3__from__n0180__c02,stage4_n4__from__n0063__c03 > stage5_n3__from__n0180__c02,toggle_airplane_mode|toggle_wifi_calling,check_network_status|check_wifi_calling_status|can_send_mms,,,,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,-0.34025000000000016,False,False,fdffd on fffff -> fdffd on fffff
