ep,rep,pos,dataset,task,oracle,s1_final,s0_final,s1_pen,s0_pen,delta,s1_clear,s0_clear,s1_aux,s0_aux,s1_strict,s0_strict,s1_pair,s0_pair,s1_path,s0_path,path_changed,s1_shared,s0_shared,s1_reasons,s0_reasons,flag_reasons,s1_obs_loss,s0_obs_loss,s1_sel_prob,s0_sel_prob,s1_root,s0_root
25,2,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_subset,12.0,10.0,2.0,False,False,False,True,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n5__from__n0010__c04/stage4_n4__from__n0037__c03/stage5_n1__from__n0108__c01,stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n2__from__n0007__c01/stage4_n1__from__n0025__c01/stage5_n2__from__n0076__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,clear=false,0.4614056273559504,0.38260446957458266,0.0021525783139491636,0.01711286212482858,stage1_n2__from__root__c02,stage1_n1__from__root__c01
26,2,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,repair_subset,12.0,6.0,6.0,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n3__from__n0010__c02/stage4_n3__from__n0035__c02/stage5_n2__from__n0101__c02,stage1_n5__from__root__c05/stage2_n5__from__n0005__c03/stage3_n3__from__n0022__c01/stage4_n2__from__n0071__c01/stage5_n1__from__n0206__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,clear_but_aux_failure_floor_6,clear=false,0.4534841141626279,0.2740745826602046,0.0023439653025161336,0.007310080258930794,stage1_n2__from__root__c02,stage1_n5__from__root__c05
28,2,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,15.0,17.0,-2.0,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n5__from__n0021__c03/stage4_n4__from__n0070__c03/stage5_n1__from__n0204__c01,stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n5__from__n0007__c04/stage4_n2__from__n0028__c01/stage5_n2__from__n0083__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,penalty>=14;clear=false,0.5279557081313947,0.5813209477652127,0.003805742525346203,0.0027374941296686374,stage1_n5__from__root__c05,stage1_n1__from__root__c01
35,3,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_subset,10.0,10.0,0.0,False,False,True,True,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n2__from__root__c02/stage2_n1__from__n0002__c01/stage3_n2__from__n0009__c02/stage4_n1__from__n0033__c01/stage5_n2__from__n0098__c02,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n3__from__n0010__c02/stage4_n3__from__n0035__c02/stage5_n3__from__n0101__c03,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,clear=false,0.40494614970382337,0.392587506731287,0.027907244939412018,0.004115579956242836,stage1_n2__from__root__c02,stage1_n2__from__root__c02
36,3,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,transfer,repair_subset,22.5,14.0,8.5,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_fast_vs_mostly_deep_required,stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n3__from__n0021__c01/stage4_n3__from__n0068__c02/stage5_n4__from__n0197__c04,stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n4__from__n0014__c02/stage4_n4__from__n0048__c03/stage5_n5__from__n0137__c04,True,True,False,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,penalty>=14;local->transfer;clear=false,0.7352855411954766,0.5393896068928379,0.008031035584946259,0.0018431040107173937,stage1_n5__from__root__c05,stage1_n3__from__root__c03
37,3,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,transfer,repair_subset,23.5,6.0,17.5,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n2__from__root__c02/stage2_n3__from__n0002__c03/stage3_n4__from__n0011__c02/stage4_n2__from__n0039__c01/stage5_n1__from__n0112__c01,stage1_n5__from__root__c05/stage2_n5__from__n0005__c03/stage3_n5__from__n0022__c03/stage4_n2__from__n0073__c01/stage5_n2__from__n0212__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,clear_but_aux_failure_floor_6,penalty>=14;local->transfer;clear=false,0.771686322024771,0.26314647280560044,0.0027033657822631025,0.0048000152630511906,stage1_n2__from__root__c02,stage1_n5__from__root__c05
38,3,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,19.0,19.0,0.0,False,False,False,False,False,False,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n5__from__n0007__c04/stage4_n5__from__n0028__c04/stage5_n4__from__n0086__c02,stage1_n2__from__root__c02/stage2_n1__from__n0002__c01/stage3_n2__from__n0009__c02/stage4_n1__from__n0033__c01/stage5_n2__from__n0098__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,penalty>=14;clear=false,0.6402872913301022,0.6378352180936995,0.0025377574949279583,0.06068067671467764,stage1_n1__from__root__c01,stage1_n2__from__root__c02
39,3,9,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_subset,repair_all,15.0,0.0,15.0,False,True,True,True,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n1__from__n0001__c01/stage3_n2__from__n0006__c02/stage4_n1__from__n0024__c01/stage5_n2__from__n0075__c02,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n4__from__n0010__c03/stage4_n2__from__n0036__c01/stage5_n1__from__n0102__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,,penalty>=14;clear=false,0.5249474959612278,0.1478730479267636,0.03924183561137895,0.002408803518261186,stage1_n1__from__root__c01,stage1_n2__from__root__c02
45,4,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_all,14.0,0.0,14.0,False,True,False,True,False,True,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n2__from__n0004__c02/stage3_n4__from__n0016__c03/stage4_n4__from__n0054__c03/stage5_n4__from__n0150__c03,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n2__from__n0010__c01/stage4_n1__from__n0034__c01/stage5_n1__from__n0099__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,,penalty>=14;clear=false,0.5360376952073236,0.11166101238556811,0.003357822128787963,0.017498964641856574,stage1_n4__from__root__c04,stage1_n2__from__root__c02
46,4,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,repair_subset,12.0,6.0,6.0,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n3__from__root__c03/stage2_n2__from__n0003__c02/stage3_n3__from__n0013__c02/stage4_n3__from__n0044__c02/stage5_n4__from__n0124__c04,stage1_n4__from__root__c04/stage2_n4__from__n0004__c04/stage3_n3__from__n0018__c01/stage4_n3__from__n0059__c02/stage5_n1__from__n0167__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,clear_but_aux_failure_floor_6,clear=false,0.4892945611200861,0.27669655358104467,0.009228228048804799,0.007512015952555677,stage1_n3__from__root__c03,stage1_n4__from__root__c04
