method,episode_index,repeat_index,dataset_index,schedule_phase,task_bucket,oracle_action,final_action,raw_terminal_penalty,legacy_raw_terminal_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,raw_total_cost,clear_success_proxy,auxiliary_success_proxy,strict_clean_success,required_modes,actual_modes,majority_pair,mismatch_bucket,selected_shared_path,selected_unshared_path,original_task_id
risky_ps,0,0,1,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.74779,1.0,3.81779,True,True,True,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps,1,0,3,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,5.43225,2.5,5.50665,True,True,True,fast/fast/fast/fast/fast,deep/deep/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps,2,0,6,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,7.68823,1.5,7.76563,True,True,True,fast/fast/fast/fast/fast,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling[PERSONA:Easy]
risky_ps,3,0,15,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,4.444255,1.5,4.521355,True,True,True,fast/fast/fast/fast/fast,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps,4,0,17,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.335065,1.0,3.398965,True,True,True,fast/fast/fast/fast/fast,fast/fast/deep/deep/fast,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps,5,0,18,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.07939,0.5,3.13489,True,True,True,fast/fast/fast/fast/fast,deep/fast/fast/fast/fast,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard]
risky_ps,6,0,19,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,4.121845,1.5,4.187645000000001,True,True,True,fast/fast/fast/fast/fast,fast/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None]
risky_ps,7,0,20,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.88561,1.0,3.94881,True,True,True,fast/fast/fast/fast/fast,deep/fast/fast/deep/fast,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy]
risky_ps,8,0,21,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.754195,1.0,3.8190950000000004,True,True,True,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy]
risky_ps,9,0,22,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.703695,1.0,3.764295,True,True,True,fast/fast/fast/fast/fast,fast/deep/fast/fast/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy]
risky_ps,10,1,1,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,4.382485,1.5,4.460785,True,True,True,fast/fast/fast/fast/fast,fast/deep/deep/deep/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps,11,1,3,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,3.74987,1.0,3.81557,True,True,True,fast/fast/fast/fast/fast,fast/fast/fast/deep/deep,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps,12,1,6,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,8.28545,2.0,8.35895,True,True,True,fast/fast/fast/fast/fast,deep/fast/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling[PERSONA:Easy]
risky_ps,13,1,15,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,4.9992,2.0,5.0727,True,True,True,fast/fast/fast/fast/fast,fast/deep/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps,14,1,17,trap_pre_switch,trap_favoring,repair_all,repair_all,0.0,0.0,5.029685,2.0,5.104385,True,True,True,fast/fast/fast/fast/fast,fast/deep/deep/deep/deep,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None]
