method,episode_index,repeat_index,dataset_index,schedule_phase,task_bucket,is_specialist_task,oracle_action,final_action,exact_match,policy_clean,subset_clean,strict_clean_success,policy_violation_count,subset_mismatch,raw_terminal_penalty,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,llm_call_count,prompt_tokens_total,completion_tokens_total,total_tokens_total,actual_modes,required_modes,match_count,fast_on_deep_count,deep_on_fast_count,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,mismatch_bucket,majority_pair,route_labels,route_bucket,original_task_id
direct_multistage_exp3,0,0,19,trap_pre_switch,trap_favoring,False,repair_all,repair_all,False,True,False,False,0,True,1.5,1.5,0.0,5.12765,0.0709,6.69855,12,42072.0,1280.0,43352.0,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,barrier_stage1_gate > barrier_stage2_gate > trap_stage3_network > general_stage4_verify > general_stage5_verify,neutral,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard]
direct_multistage_exp3,1,0,13,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0,False,0.0,0.0,0.0,4.908365,0.0669,4.975265,13,39235.0,1105.0,40340.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > general_stage3_network > general_stage4_repair > target_stage5_decision,neutral,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,2,0,7,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0,False,0.0,0.0,0.0,4.69759,0.07020000000000001,4.76779,12,36738.0,1267.0,38005.0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,barrier_stage1_gate > general_stage2_roaming > general_stage3_network > general_stage4_verify > general_stage5_verify,neutral,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,3,0,25,trap_pre_switch,trap_favoring,False,repair_subset,repair_subset,False,False,False,False,1,True,6.0,4.0,2.0,4.57854,0.07840000000000001,10.65694,12,36620.0,1042.0,37662.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > barrier_stage3_gate > barrier_stage4_gate > barrier_stage5_transfer,neutral,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard]
direct_multistage_exp3,4,0,36,trap_pre_switch,trap_favoring,False,repair_all,repair_all,False,True,False,False,0,True,1.5,1.5,0.0,4.507365,0.066,6.073365,13,38665.0,1127.0,39792.0,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,general_stage1_verify > general_stage2_core > barrier_stage3_gate > trap_stage4_execute > general_stage5_verify,neutral,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,5,0,35,target_post_switch,target_favoring,True,repair_subset,repair_subset,False,False,False,False,1,True,3.0,1.0,2.0,4.486305,0.074,7.560305,10,40711.0,1523.0,42234.0,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,general_stage1_intake > general_stage2_core > trap_stage3_network > barrier_stage4_gate > barrier_stage5_transfer,target_decoy_medium,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,6,0,51,target_post_switch,target_favoring,True,repair_subset,repair_subset,False,False,False,False,1,True,13.0,11.0,2.0,5.904085,0.0661,18.970185,14,58493.0,1472.0,59965.0,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,3,1,1,1,4,1,4,both_mismatch_types,mostly_deep_vs_mostly_deep_required,target_stage1_handoff > trap_stage2_router > general_stage3_network > general_stage4_verify > general_stage5_verify,neutral,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,7,0,45,target_post_switch,target_favoring,True,repair_all,repair_subset,False,True,False,False,0,True,11.0,11.0,0.0,5.642325,0.0712,16.713524999999997,12,54151.0,1566.0,55717.0,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,general_stage1_intake > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > barrier_stage5_transfer,target_decoy_medium,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,8,0,40,target_post_switch,target_favoring,True,repair_subset,repair_subset,False,False,False,False,1,True,5.0,3.0,2.0,4.647885,0.0752,9.723085,12,48493.0,1547.0,50040.0,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,5,0,0,1,4,1,4,all_stage_modes_match,mostly_deep_vs_mostly_deep_required,general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,target_safe_specialist_good,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,9,0,46,target_post_switch,target_favoring,True,repair_subset,transfer,False,False,False,False,1,True,21.5,19.5,2.0,5.416825,0.0678,26.984624999999998,12,52797.0,1327.0,54124.0,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,barrier_stage1_gate > trap_stage2_router > trap_stage3_network > general_stage4_repair > target_stage5_decision,neutral,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
