run,pattern,suffix,shared,n_high_terminal,terminal_mean,datasets,episodes,final_counts,cause_counts
old,fdddd on fdddd,stage4_n1__from__n0024__c01 > stage5_n2__from__n0075__c02,True,2,16.5,"13,16","39,78",{'repair_subset': 2},"{'subset_mismatch_with_missing_oracle_repair_tools': 1, 'subset_mismatch_terminal_decision': 1}"
old,ddddd on fdddd,stage4_n1__from__n0032__c01 > stage5_n2__from__n0097__c02,True,1,22.5,9,76,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,ddddd on fdddd,stage4_n1__from__n0033__c01 > stage5_n1__from__n0098__c01,True,1,24.5,13,88,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,ddddd on fdddd,stage4_n1__from__n0033__c01 > stage5_n2__from__n0098__c02,True,1,10.0,2,35,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,ddddd on fdddd,stage4_n1__from__n0041__c01 > stage5_n2__from__n0120__c02,True,1,22.5,10,47,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,dfddd on fdddd,stage4_n1__from__n0043__c01 > stage5_n1__from__n0122__c01,True,1,17.0,13,98,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,dfddd on fdddd,stage4_n3__from__n0035__c02 > stage5_n2__from__n0101__c02,True,1,12.0,9,26,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,dfddd on fdddd,stage4_n3__from__n0047__c02 > stage5_n3__from__n0134__c03,True,1,12.0,9,96,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,dfddd on fdddd,stage4_n5__from__n0049__c04 > stage5_n5__from__n0142__c03,False,1,23.5,10,77,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,dfddf on fdddd,stage4_n3__from__n0044__c02 > stage5_n4__from__n0124__c04,True,1,12.0,9,46,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,dfdfd on fdddd,stage4_n4__from__n0037__c03 > stage5_n1__from__n0108__c01,True,1,12.0,2,25,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,dfdff on fdddd,stage4_n4__from__n0049__c03 > stage5_n4__from__n0141__c03,True,1,14.0,9,66,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,dffdd on fdddd,stage4_n2__from__n0039__c01 > stage5_n1__from__n0112__c01,True,1,23.5,10,37,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,dffdd on fdddd,stage4_n2__from__n0048__c01 > stage5_n1__from__n0135__c01,True,1,12.0,9,86,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,fdddd on fdddd,stage4_n1__from__n0023__c01 > stage5_n1__from__n0074__c01,True,1,22.5,16,79,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fdddd on fdddd,stage4_n1__from__n0023__c01 > stage5_n2__from__n0074__c02,True,1,25.5,13,68,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fdddd on fdddd,stage4_n1__from__n0051__c01 > stage5_n1__from__n0144__c01,True,1,10.0,2,65,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fdddd on fdddd,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,True,1,22.5,10,57,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fdddf on fdddd,stage4_n3__from__n0068__c02 > stage5_n4__from__n0197__c04,True,1,22.5,9,36,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fddfd on fdddd,stage4_n4__from__n0070__c03 > stage5_n1__from__n0204__c01,True,1,15.0,13,28,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fddfd on fdddd,stage4_n4__from__n0073__c03 > stage5_n1__from__n0214__c01,True,1,12.0,2,85,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fdfdd on fdddd,stage4_n2__from__n0060__c01 > stage5_n2__from__n0168__c02,True,1,22.5,10,67,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fdfdd on fdddd,stage4_n2__from__n0063__c01 > stage5_n2__from__n0178__c02,True,1,10.0,2,75,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fdffd on fdddd,stage4_n4__from__n0069__c03 > stage5_n1__from__n0200__c01,True,1,14.0,16,49,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,ffddd on fdddd,stage4_n1__from__n0052__c01 > stage5_n1__from__n0145__c01,True,1,10.0,2,55,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,ffddd on fdddd,stage4_n3__from__n0029__c02 > stage5_n2__from__n0088__c02,True,1,12.0,10,97,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,ffddd on fdddd,stage4_n3__from__n0065__c02 > stage5_n3__from__n0187__c03,True,1,10.0,2,95,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,ffddf on fdddd,stage4_n5__from__n0028__c04 > stage5_n4__from__n0086__c02,True,1,19.0,13,38,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
old,ffdff on fdddd,stage4_n4__from__n0055__c03 > stage5_n4__from__n0154__c03,True,1,15.0,13,48,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fffdd on fdddd,stage4_n2__from__n0066__c01 > stage5_n1__from__n0188__c01,True,1,23.5,10,87,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
old,fffdd on fdddd,stage4_n3__from__n0030__c02 > stage5_n2__from__n0090__c02,True,1,14.0,35,53,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,ffffd on fdddd,stage4_n4__from__n0057__c03 > stage5_n3__from__n0160__c02,True,1,21.0,16,59,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fffff on fdddd,stage4_n4__from__n0027__c03 > stage5_n4__from__n0081__c03,True,1,15.0,16,89,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
old,fffff on fdddd,stage4_n4__from__n0054__c03 > stage5_n4__from__n0150__c03,True,1,14.0,2,45,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,fdddd on fdddd,stage4_n1__from__n0024__c01 > stage5_n2__from__n0075__c02,True,2,20.5,"2,16","35,79",{'transfer': 2},{'over_transfer_on_local_oracle': 2}
probfloor0002,ddddd on fdddd,stage4_n1__from__n0033__c01 > stage5_n1__from__n0098__c01,True,1,22.5,10,37,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,ddddd on fdddd,stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,True,1,10.0,35,83,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,ddddd on fdddd,stage4_n1__from__n0042__c01 > stage5_n1__from__n0121__c01,True,1,10.0,2,75,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,dfddd on fdddd,stage4_n2__from__n0047__c01 > stage5_n2__from__n0133__c02,True,1,10.0,2,85,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,dfddd on fdddd,stage4_n3__from__n0035__c02 > stage5_n2__from__n0101__c02,True,1,23.5,9,26,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,dfddf on fdddd,stage4_n3__from__n0040__c02 > stage5_n4__from__n0117__c04,True,1,17.0,13,98,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
