dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,stage5_replay_tool_names,stage5_executed_tool_names,oracle_tools_missing_from_stage5_replay,stage5_replay_tools_extra_vs_oracle,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_contract_prompt_version,stage4_contract_self_check,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,stage5_contract_prompt_version,stage5_contract_self_check,stage4_executed_tool_names,selected_blocker_ids,deferred_blocker_ids,exact_match
1,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.76108,2.81978,42.06978,36304.0,785.0,37089.0,10,0,0,3,39.25,37089.0,0,0,39.25,0.0052542000000000005,21,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
3,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.80798,2.86668,42.36668,36294.0,955.0,37249.0,10,0,0,3,39.5,37249.0,0,0,39.5,0.0055371,21,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
6,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],[],"[""bad_wifi_calling""]","[""bad_wifi_calling""]",[],[],[],[],,[],"[""toggle_wifi_calling"", ""toggle_roaming"", ""toggle_wifi_calling"", ""toggle_roaming""]","[""check_wifi_calling_status"", ""can_send_mms""]",[],"[""toggle_roaming""]",[mms_issue]bad_wifi_calling[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.5396,2.5983,38.8483,33860.0,605.0,34465.0,10,0,1,4,36.25,34465.0,0,1,36.25,0.0045492,20,repair_all,partially_repairable,,stage45_contract_prompt_v1_1b,null,1,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_wifi_calling"", ""toggle_roaming"", ""toggle_wifi_calling"", ""toggle_roaming""]","[""bad_wifi_calling""]",[],True
15,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_wifi_calling"", ""grant_app_permission""]","[""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.13717,2.1958699999999998,31.19587,27959.0,643.0,28602.0,9,0,0,2,29.0,28602.0,0,0,29.0,0.004003649999999999,19,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",2,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
17,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""toggle_wifi_calling"", ""grant_app_permission""]","[""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.64684,2.70554,40.20554,34840.0,743.0,35583.0,10,0,0,2,37.5,35583.0,0,0,37.5,0.005383799999999999,19,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",2,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
18,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],"[""bad_network_preference""]","[""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""set_network_mode_preference""]","[""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]",[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.0,12.0,False,False,0.0587,2.21144,14.27014,44.27014,28776.0,704.0,29480.0,9,0,0,1,30.0,29480.0,0,0,30.0,0.0037787999999999997,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",1,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference""]","[""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",False
19,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],"[""data_mode_off""]","[""data_mode_off""]","[""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data""]","[""check_network_status"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]",[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.0,12.0,False,False,0.0587,2.21529,14.27399,44.27399,28683.0,741.0,29424.0,9,0,0,1,30.0,29424.0,0,0,30.0,0.00393105,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",1,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data""]","[""data_mode_off""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",False
20,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],"[""bad_network_preference""]","[""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""set_network_mode_preference""]","[""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]",[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.0,12.0,False,False,0.0587,2.20612,14.26482,44.26482,28776.0,685.0,29461.0,9,0,0,1,30.0,29461.0,0,0,30.0,0.0043818,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",1,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference""]","[""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",False
21,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],"[""data_mode_off""]","[""data_mode_off""]","[""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data""]","[""check_network_status"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]",[],[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.0,12.0,False,False,0.0587,2.2148,14.2735,44.2735,28692.0,737.0,29429.0,9,0,0,1,30.0,29429.0,0,0,30.0,0.0037284,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",1,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data""]","[""data_mode_off""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",False
22,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""bad_wifi_calling""]","[""airplane_mode_on"", ""bad_wifi_calling""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""toggle_wifi_calling""]","[""check_network_status"", ""check_wifi_calling_status"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.64166,2.70036,39.95036,34562.0,794.0,35356.0,10,0,0,2,37.25,35356.0,0,0,37.25,0.0049599,19,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",2,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""toggle_wifi_calling""]","[""airplane_mode_on"", ""bad_wifi_calling""]",[],True
