dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,stage5_replay_tool_names,stage5_executed_tool_names,oracle_tools_missing_from_stage5_replay,stage5_replay_tools_extra_vs_oracle,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_contract_prompt_version,stage4_contract_self_check,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,stage5_contract_prompt_version,stage5_contract_self_check,stage4_executed_tool_names,selected_blocker_ids,deferred_blocker_ids,exact_match
18,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_storage_permission""]","[""data_mode_off""]",[],[],[],"[""data_mode_off"", ""bad_network_preference""]","[""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""check_network_status"", ""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]","[""toggle_data""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.5,12.5,False,False,0.0587,2.87182,15.43052,56.43052,37682.0,836.0,38518.0,10,0,1,3,41.0,38518.0,0,1,41.0,0.009920799999999999,16,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,null,2,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""data_mode_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",False
18,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_storage_permission""]","[""data_mode_off""]",[],[],[],"[""data_mode_off"", ""bad_network_preference""]","[""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""check_network_status"", ""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]","[""toggle_data""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.5,12.5,False,False,0.0587,2.82548,15.38418,56.13418,37672.0,673.0,38345.0,10,0,1,3,40.75,38345.0,0,1,40.75,0.0134192,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,null,2,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""data_mode_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",False
18,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_storage_permission""]","[""data_mode_off""]",[],[],[],"[""data_mode_off"", ""bad_network_preference""]","[""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""check_network_status"", ""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]","[""toggle_data""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.5,12.5,False,False,0.0587,2.88512,15.44382,56.69382,37672.0,886.0,38558.0,10,0,1,3,41.25,38558.0,0,1,41.25,0.0104576,18,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,null,2,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""data_mode_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_storage_permission""]",False
19,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],,[],"[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.83479,2.89349,42.89349,36361.0,1034.0,37395.0,10,0,1,3,40.0,37395.0,0,1,40.0,0.014586,20,repair_all,partially_repairable,,stage45_contract_prompt_v1_1b,null,3,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
19,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],,[],"[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.75093,2.80963,42.05963,36359.0,735.0,37094.0,10,0,1,3,39.25,37094.0,0,1,39.25,0.0089996,18,repair_all,partially_repairable,,stage45_contract_prompt_v1_1b,null,3,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
19,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],,[],"[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.77585,2.83455,42.33455,36367.0,822.0,37189.0,10,0,1,3,39.5,37189.0,0,1,39.5,0.0101404,19,repair_all,partially_repairable,,stage45_contract_prompt_v1_1b,null,3,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
20,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],,[],"[""set_network_mode_preference"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.72783,2.78653,42.03653,36477.0,623.0,37100.0,10,0,1,3,39.25,37100.0,0,1,39.25,0.0125156,19,repair_all,partially_repairable,,stage45_contract_prompt_v1_1b,null,3,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""grant_app_permission"", ""toggle_wifi_calling""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
20,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off""]",[],[],[],"[""data_mode_off"", ""bad_network_preference""]","[""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""check_network_status"", ""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]","[""toggle_data""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.5,12.5,False,False,0.0587,2.87546,15.43416,56.68416,37742.0,834.0,38576.0,10,0,1,3,41.25,38576.0,0,1,41.25,0.0115544,19,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,null,2,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""data_mode_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",False
20,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,"[""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off""]",[],[],[],"[""data_mode_off"", ""bad_network_preference""]","[""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""check_network_status"", ""check_network_mode_preference"", ""can_send_mms""]","[""grant_app_permission"", ""toggle_wifi_calling""]","[""toggle_data""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,12.5,12.5,False,False,0.0587,2.84942,15.40812,56.40812,37734.0,743.0,38477.0,10,0,1,3,41.0,38477.0,0,1,41.0,0.0078344,17,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,null,2,2,0,True,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""set_network_mode_preference"", ""toggle_data""]","[""data_mode_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_app_sms_permission""]",False
21,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.80287,2.86157,42.36157,36409.0,908.0,37317.0,10,0,0,3,39.5,37317.0,0,0,39.5,0.012790799999999998,19,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
