method,episode_index,phase,bucket,specialist,archetype,oracle_action,final_action,agent_modes,task_reqs,stage_pairs,agent_fast_count,task_fast_count,ff,fast_on_deep,deep_on_fast,dd,match_count,match_rate,agent_majority,task_majority,pair_class,raw_terminal_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,terminal_success_proxy,policy_clean_proxy,policy_violation_count,clear_success_no_fallback,aux_exec_success,total_tokens,selected_path,original_task_id
direct_multistage_exp3,0,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,FDFDD,FFFFF,"F/F,D/F,F/F,D/F,D/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,1.5,5.091165,0.0709,6.662065,False,False,True,0,,,43218.0,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n4__from__n0022__c02 > stage4_n3__from__n0072__c02 > stage5_n3__from__n0209__c03,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard]
direct_multistage_exp3,1,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDDD,FFFFF,"D/F,F/F,D/F,D/F,D/F",1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,0.0,4.564055,0.0669,4.630955,True,True,True,0,,,37376.0,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n3__from__n0011__c01 > stage4_n2__from__n0038__c01 > stage5_n2__from__n0110__c02,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,2,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,FDDDD,FFFFF,"F/F,D/F,D/F,D/F,D/F",1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,0.0,4.65849,0.07020000000000001,4.728689999999999,True,True,True,0,,,37920.0,stage1_n5__from__root__c05 > stage2_n4__from__n0005__c02 > stage3_n3__from__n0021__c01 > stage4_n3__from__n0068__c02 > stage5_n3__from__n0197__c03,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,3,trap_pre_switch,trap_favoring,False,neutral,repair_subset,repair_subset,DFDDD,FFFFF,"D/F,F/F,D/F,D/F,D/F",1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,4.0,4.52058,0.07840000000000001,8.598980000000001,False,False,False,1,,,37545.0,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n5__from__n0011__c03 > stage4_n5__from__n0040__c04 > stage5_n5__from__n0119__c03,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard]
direct_multistage_exp3,4,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDFD,FFFFF,"D/F,F/F,D/F,F/F,D/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,1.5,4.149255,0.066,5.715255,False,False,True,0,,,36801.0,stage1_n2__from__root__c02 > stage2_n2__from__n0002__c02 > stage3_n5__from__n0010__c04 > stage4_n4__from__n0037__c03 > stage5_n3__from__n0108__c02,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,5,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FFFDD,FDDDD,"F/F,F/D,F/D,D/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,13.0,5.00489,0.074,18.07889,False,False,False,1,,,48482.0,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n4__from__n0007__c03 > stage4_n5__from__n0027__c04 > stage5_n5__from__n0082__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,6,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,DFDDD,FDDDD,"D/F,F/D,D/D,D/D,D/D",1,1,0,1,1,3,3,0.6,deep,deep,agent_deep__task_deep,21.5,5.88564,0.0661,27.45174,False,False,False,1,,,59301.0,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n3__from__n0014__c01 > stage4_n3__from__n0047__c02 > stage5_n3__from__n0134__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,7,target_post_switch,target_favoring,True,neutral,repair_all,transfer,FFFDD,FDDDD,"F/F,F/D,F/D,D/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,18.5,5.58359,0.0712,24.154790000000002,False,False,True,0,,,54930.0,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n4__from__n0008__c02 > stage4_n5__from__n0030__c04 > stage5_n5__from__n0092__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,8,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FDDDD,FDDDD,"F/F,D/D,D/D,D/D,D/D",1,1,1,0,0,4,5,1.0,deep,deep,agent_deep__task_deep,2.0,5.014405,0.0752,7.089605000000001,True,True,False,1,,,54325.0,stage1_n1__from__root__c01 > stage2_n1__from__n0001__c01 > stage3_n2__from__n0006__c02 > stage4_n1__from__n0024__c01 > stage5_n1__from__n0075__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,9,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,FFFDD,FDDDD,"F/F,F/D,F/D,D/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,21.5,5.544595,0.0678,27.112395,False,False,False,1,,,54445.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n4__from__n0020__c02 > stage4_n2__from__n0066__c01 > stage5_n2__from__n0188__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
