actual_pattern,dataset_index,deferred_missing_vs_oracle,diagnostic_pattern,exact_match,expected_terminal_action,final_action,oracle_action,oracle_tools_missing_from_stage5_replay,raw_terminal_penalty,raw_total_cost,raw_total_cost_with_token_penalty,required_pattern,selected_missing_vs_oracle,task_id,terminal_adjustment_reasons
dfddd,0,[],dfddd,True,repair_all,repair_all,repair_all,[],0.0,3.6907200000000002,6.690720000000001,dfddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off[PERSONA:None],[]
fffff,1,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.81978,42.06978,fffff,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],[]
fdddd,2,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.59118,6.59118,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],[]
fffff,3,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.86668,42.36668,fffff,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],[]
dfddd,4,[],dfddd,True,repair_all,repair_all,repair_all,[],0.0,3.62912,6.62912,dfddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card[PERSONA:Easy],[]
ddddd,5,[],ddddd,False,repair_subset,repair_subset,repair_subset,"[""toggle_wifi_calling""]",12.0,16.381410000000002,16.381410000000002,ddddd,"[""bad_wifi_calling""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,6,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.5983,38.8483,fffff,[],[mms_issue]bad_wifi_calling[PERSONA:Easy],[]
dfddd,7,[],dfddd,True,repair_all,repair_all,repair_all,[],0.0,3.71858,6.71858,dfddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None],[]
ddddd,8,"[""data_usage_exceeded""]",ddddd,False,repair_subset,repair_subset,repair_subset,[],17.0,20.2969,20.2969,ddddd,"[""airplane_mode_on"", ""bad_network_preference"", ""break_app_sms_permission"", ""data_mode_off"", ""user_abroad_roaming_enabled_off""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,9,[],fdddd,True,repair_subset,repair_subset,repair_subset,[],6.0,10.95457,14.20457,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],"[""clear_but_aux_failure_floor_6""]"
