dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,stage5_replay_tool_names,stage5_executed_tool_names,oracle_tools_missing_from_stage5_replay,stage5_replay_tools_extra_vs_oracle,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_contract_prompt_version,stage4_contract_self_check,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,stage5_contract_prompt_version,stage5_contract_self_check,stage4_executed_tool_names,selected_blocker_ids,deferred_blocker_ids,exact_match
18,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.92761,2.98631,44.98631,38323.0,875.0,39198.0,10,0,0,3,42.0,39198.0,0,0,42.0,0.0051886499999999995,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
18,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.91753,2.97623,44.97623,38323.0,839.0,39162.0,10,0,0,3,42.0,39162.0,0,0,42.0,0.00517665,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
18,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.91501,2.97371,44.97371,38323.0,830.0,39153.0,10,0,0,3,42.0,39153.0,0,0,42.0,0.00444165,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
19,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.92236,2.98106,44.98106,38180.0,892.0,39072.0,10,0,0,3,42.0,39072.0,0,0,42.0,0.005254199999999999,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
19,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.92348,2.98218,44.98218,38180.0,896.0,39076.0,10,0,0,3,42.0,39076.0,0,0,42.0,0.0043158,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
19,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.9204,2.9791,44.9791,38180.0,885.0,39065.0,10,0,0,3,42.0,39065.0,0,0,42.0,0.0039828,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
20,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.91781,2.9765099999999998,44.97651,38323.0,840.0,39163.0,10,0,0,3,42.0,39163.0,0,0,42.0,0.005206049999999999,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
20,1,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.91529,2.97399,44.97399,38323.0,831.0,39154.0,10,0,0,3,42.0,39154.0,0,0,42.0,0.00404865,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
20,2,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],[],[],[],[],,[],"[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.91697,2.97567,44.97567,38323.0,837.0,39160.0,10,0,0,3,42.0,39160.0,0,0,42.0,0.00369705,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""set_network_mode_preference"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],True
21,0,canonical_pattern,fffff,fffff,fffff,,,,,,repair_all,repair_all,[],[],[],[],"[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],focus,1,other,"[""general"", ""general"", ""trap"", ""trap"", ""trap""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n4__from__n0007__c03"", ""stage4_n4__from__n0027__c03"", ""stage5_n4__from__n0081__c03""]",1.0,0.0,0.0,True,True,0.0587,2.96037,3.01907,45.26907,38211.0,1020.0,39231.0,10,0,0,3,42.25,39231.0,0,0,42.25,0.005028449999999999,21,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",3,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_data"", ""toggle_wifi_calling"", ""grant_app_permission""]","[""data_mode_off"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],True
