job_index,original_task_id,instance_id,expected_terminal_action,repairability,persona_level,num_blockers,required_modes,agent_modes,mode_match_exact,mode_matched_candidate_count,path_agent_ids,route_labels,lane_sequence,leaf_type,route_preference_score,path_base_cost_sum,oracle_action,final_action,terminal_cost,raw_terminal_penalty,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,subset_clean,subset_mismatch,policy_clean,policy_violation_count,clear_success,auxiliary_success,strict_clean,selected_blocker_ids,deferred_blocker_ids,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count,json_retry_count,stage_llm_calls,stage_json_retries,policy_action_violation,policy_communication_violation,stage5_executed_tool_names,stage123_model,stage45_model,stage_models_intended,stage45_contract_prompt_v1_1b,terminal_v4_enabled,reasoning_weight_calibration_v3_enabled,mode_mismatch_report_only_v2_enabled,profile_switch_bucket,blocker_family_tags,priority_score,decision,delete_reasons,keep_basis,calibration_source
0,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],telecom_mms_task_mms_issuebad_wifi_calling__break_apn_mms_setting__unseat_sim_cardPERSONA_Hard,repair_all,repairable,Hard,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.391755,0.05310000000000001,3.444855,True,True,False,True,0,True,True,True,"[""unseat_sim_card"", ""bad_wifi_calling"", ""break_apn_mms_setting""]",[],36723.0,795.0,37518.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_sim_status"", ""check_apn_settings"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,apn|wifi_calling|sim,-81.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
1,[mms_issue]bad_wifi_calling|unseat_sim_card[PERSONA:Easy],telecom_mms_task_mms_issuebad_wifi_calling__unseat_sim_cardPERSONA_Easy,repair_all,repairable,Easy,2,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.16676,0.05310000000000001,3.21986,True,True,False,True,0,True,True,True,"[""unseat_sim_card"", ""bad_wifi_calling""]",[],34628.0,657.0,35285.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_sim_status"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,wifi_calling|sim,-77.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
2,[mms_issue]bad_wifi_calling|break_apn_mms_setting[PERSONA:Hard],telecom_mms_task_mms_issuebad_wifi_calling__break_apn_mms_settingPERSONA_Hard,repair_all,repairable,Hard,2,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.26111,0.05310000000000001,3.31421,True,True,False,True,0,True,True,True,"[""bad_wifi_calling"", ""break_apn_mms_setting""]",[],35286.0,770.0,36056.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""can_send_mms"", ""check_wifi_calling_status"", ""check_apn_settings""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,apn|wifi_calling,-76.0,keep,,mode_match_exact=1;terminal_cost<=2;clear_success=1;repair_task_subset_clean=1,new_llm_execution_stage123_4omini_stage45_41mini
3,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting[PERSONA:None],telecom_mms_task_mms_issuebad_network_preference__bad_wifi_calling__break_apn_mms_settingPERSONA_None,repair_all,repairable,None,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.38198,0.05310000000000001,3.43508,True,True,False,True,0,True,True,True,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting""]",[],36872.0,729.0,37601.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,apn|wifi_calling|network_preference,-76.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
4,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions[PERSONA:None],telecom_mms_task_mms_issuebad_wifi_calling__break_apn_mms_setting__break_app_both_permissionsPERSONA_None,repair_all,repairable,None,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_subset,5.0,5.0,3.0,2.0,3.31279,0.05310000000000001,8.36589,False,False,True,False,1,False,False,False,"[""bad_wifi_calling"", ""break_apn_mms_setting""]","[""break_app_both_permissions""]",37054.0,480.0,37534.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",True,False,"[""check_apn_settings"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,apn|permission|wifi_calling,-76.0,delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,,new_llm_execution_stage123_4omini_stage45_41mini
5,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission[PERSONA:Easy],telecom_mms_task_mms_issuebad_wifi_calling__break_apn_mms_setting__break_app_sms_permissionPERSONA_Easy,repair_all,repairable,Easy,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.41054,0.05310000000000001,3.4636400000000003,True,True,False,True,0,True,True,True,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],37036.0,772.0,37808.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,apn|permission|wifi_calling,-76.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
6,[mms_issue]airplane_mode_on|bad_wifi_calling|unseat_sim_card[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_wifi_calling__unseat_sim_cardPERSONA_Easy,repair_all,repairable,Easy,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.341095,0.05310000000000001,3.3941950000000003,True,True,False,True,0,True,True,True,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_wifi_calling""]",[],36035.0,818.0,36853.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_sim_status"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,wifi_calling|sim,-74.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
7,[mms_issue]bad_network_preference|bad_wifi_calling|unseat_sim_card[PERSONA:None],telecom_mms_task_mms_issuebad_network_preference__bad_wifi_calling__unseat_sim_cardPERSONA_None,repair_all,repairable,None,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.382575,0.05310000000000001,3.4356750000000003,True,True,False,True,0,True,True,True,"[""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling""]",[],36231.0,891.0,37122.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_sim_status"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,wifi_calling|network_preference|sim,-74.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
8,[mms_issue]bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:None],telecom_mms_task_mms_issuebad_wifi_calling__break_app_sms_permission__unseat_sim_cardPERSONA_None,repair_all,repairable,None,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.39031,0.05310000000000001,3.44341,True,True,False,True,0,True,True,True,"[""unseat_sim_card"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],36358.0,882.0,37240.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_sim_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,permission|wifi_calling|sim,-74.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
9,[mms_issue]bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],telecom_mms_task_mms_issuebad_wifi_calling__break_app_storage_permission__unseat_sim_cardPERSONA_Easy,repair_all,repairable,Easy,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,3.3915,0.05310000000000001,3.4446000000000003,True,True,False,True,0,True,True,True,"[""unseat_sim_card"", ""bad_wifi_calling"", ""break_app_storage_permission""]",[],36368.0,883.0,37251.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_sim_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",gpt-4o-mini,gpt-4.1-mini,"[""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4o-mini"", ""gpt-4.1-mini"", ""gpt-4.1-mini""]",True,False,False,False,trap_favoring,permission|wifi_calling|sim,-74.0,not_selected_after_target_full,,passed_execution_calibration_but_not_selected_by_v3_diversity,new_llm_execution_stage123_4omini_stage45_41mini
