experiment,seed,method_short,method,regime,episode_index,episode_1based,phase,switch_episode_index,switch_episode_1based,cost,oracle_cost,regret,path,path_prob,root_prob_used,root_selection_mode,root_child,root_base_alias,base_alias_path,family_label,trap_basin,target_subtree,target_good,target_bad,decoy_branch,broad_safe_basin,exact_best
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,0,1,pre_switch,5,6,0.0,0.05794379563204665,-0.05794379563204665,"[""stage1_n4__from__root__c04"", ""stage2_n2__from__n0004__c02"", ""stage3_n3__from__n0016__c02"", ""stage4_n2__from__n0053__c01"", ""stage5_n2__from__n0146__c02""]",0.0025000000000000005,0.2,epsilon_exploit,stage1_n4__from__root__c04,stage1_n4,"[""stage1_n4"", ""stage2_n2"", ""stage3_n3"", ""stage4_n2"", ""stage5_n2""]",ps_favored_v10_non_safe_all_shared_post_switch,False,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,1,2,pre_switch,5,6,0.0,0.05794379563204665,-0.05794379563204665,"[""stage1_n3__from__root__c03"", ""stage2_n3__from__n0003__c03"", ""stage3_n3__from__n0014__c01"", ""stage4_n3__from__n0047__c02"", ""stage5_n4__from__n0134__c04""]",0.0027777777777777775,0.2,epsilon_exploit,stage1_n3__from__root__c03,stage1_n3,"[""stage1_n3"", ""stage2_n3"", ""stage3_n3"", ""stage4_n3"", ""stage5_n4""]",ps_favored_v10_balancing_candidate_post_switch,False,False,False,False,True,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,2,3,pre_switch,5,6,0.0,0.05794379563204665,-0.05794379563204665,"[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n3__from__n0018__c01"", ""stage4_n3__from__n0059__c02"", ""stage5_n4__from__n0167__c04""]",0.001666666666666667,0.2,epsilon_exploit,stage1_n4__from__root__c04,stage1_n4,"[""stage1_n4"", ""stage2_n4"", ""stage3_n3"", ""stage4_n3"", ""stage5_n4""]",ps_favored_v10_trap_basin_post_switch,True,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,3,4,pre_switch,5,6,1.0,0.05794379563204665,0.9420562043679533,"[""stage1_n5__from__root__c05"", ""stage2_n5__from__n0005__c03"", ""stage3_n3__from__n0022__c01"", ""stage4_n2__from__n0071__c01"", ""stage5_n2__from__n0206__c02""]",0.005555555555555555,0.2,epsilon_exploit,stage1_n5__from__root__c05,stage1_n5,"[""stage1_n5"", ""stage2_n5"", ""stage3_n3"", ""stage4_n2"", ""stage5_n2""]",ps_favored_v10_multi_barrier_post_switch,False,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,4,5,pre_switch,5,6,0.0,0.05794379563204665,-0.05794379563204665,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",0.016666666666666666,0.2,epsilon_uniform,stage1_n3__from__root__c03,stage1_n3,"[""stage1_n3"", ""stage2_n1"", ""stage3_n2"", ""stage4_n1"", ""stage5_n2""]",ps_favored_v10_target_bad_post_switch,False,True,False,True,False,True,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,post_switch,5,6,0.0,0.01,-0.01,"[""stage1_n2__from__root__c02"", ""stage2_n1__from__n0002__c01"", ""stage3_n2__from__n0009__c02"", ""stage4_n1__from__n0033__c01"", ""stage5_n2__from__n0098__c02""]",0.019732598848055498,0.23679118617666597,epsilon_exploit,stage1_n2__from__root__c02,stage1_n2,"[""stage1_n2"", ""stage2_n1"", ""stage3_n2"", ""stage4_n1"", ""stage5_n2""]",ps_favored_v10_target_bad_post_switch,False,True,False,True,False,True,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,6,7,post_switch,5,6,1.0,0.01,0.99,"[""stage1_n3__from__root__c03"", ""stage2_n2__from__n0003__c02"", ""stage3_n3__from__n0013__c02"", ""stage4_n2__from__n0044__c01"", ""stage5_n1__from__n0123__c01""]",0.0049331497120138745,0.23679118617666597,epsilon_exploit,stage1_n3__from__root__c03,stage1_n3,"[""stage1_n3"", ""stage2_n2"", ""stage3_n3"", ""stage4_n2"", ""stage5_n1""]",ps_favored_v10_balancing_candidate_post_switch,False,False,False,False,True,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,7,8,post_switch,5,6,0.0,0.01,-0.01,"[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n2__from__n0007__c01"", ""stage4_n1__from__n0025__c01"", ""stage5_n2__from__n0076__c02""]",0.011888380697842649,0.28532113674822357,epsilon_exploit,stage1_n1__from__root__c01,stage1_n1,"[""stage1_n1"", ""stage2_n2"", ""stage3_n2"", ""stage4_n1"", ""stage5_n2""]",ps_favored_v10_avg_baited_corridor_post_switch,False,False,False,False,True,True,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,8,9,post_switch,5,6,0.0,0.01,-0.01,"[""stage1_n4__from__root__c04"", ""stage2_n2__from__n0004__c02"", ""stage3_n3__from__n0016__c02"", ""stage4_n3__from__n0053__c02"", ""stage5_n3__from__n0147__c03""]",0.0017832571046763974,0.28532113674822357,epsilon_exploit,stage1_n4__from__root__c04,stage1_n4,"[""stage1_n4"", ""stage2_n2"", ""stage3_n3"", ""stage4_n3"", ""stage5_n3""]",ps_favored_v10_non_safe_all_shared_post_switch,False,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,9,10,post_switch,5,6,1.0,0.01,0.99,"[""stage1_n3__from__root__c03"", ""stage2_n3__from__n0003__c03"", ""stage3_n5__from__n0014__c03"", ""stage4_n2__from__n0049__c01"", ""stage5_n1__from__n0139__c01""]",0.0016559270876293423,0.08037283881896606,epsilon_exploit,stage1_n3__from__root__c03,stage1_n3,"[""stage1_n3"", ""stage2_n3"", ""stage3_n5"", ""stage4_n2"", ""stage5_n1""]",ps_favored_v10_one_barrier_post_switch,False,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,10,11,post_switch,5,6,1.0,0.01,0.99,"[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n3__from__n0018__c01"", ""stage4_n2__from__n0059__c01"", ""stage5_n1__from__n0166__c01""]",0.005160164511742777,0.30960987070456664,epsilon_exploit,stage1_n4__from__root__c04,stage1_n4,"[""stage1_n4"", ""stage2_n4"", ""stage3_n3"", ""stage4_n2"", ""stage5_n1""]",ps_favored_v10_trap_basin_post_switch,True,False,False,False,False,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,11,12,post_switch,5,6,1.0,0.01,0.99,"[""stage1_n2__from__root__c02"", ""stage2_n2__from__n0002__c02"", ""stage3_n4__from__n0010__c03"", ""stage4_n2__from__n0036__c01"", ""stage5_n2__from__n0102__c02""]",0.0039920570299821585,0.38323747487828724,epsilon_exploit,stage1_n2__from__root__c02,stage1_n2,"[""stage1_n2"", ""stage2_n2"", ""stage3_n4"", ""stage4_n2"", ""stage5_n2""]",ps_favored_v10_local_decoy_post_switch,False,False,False,False,True,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,12,13,post_switch,5,6,1.0,0.01,0.99,"[""stage1_n1__from__root__c01"", ""stage2_n3__from__n0001__c03"", ""stage3_n3__from__n0008__c01"", ""stage4_n2__from__n0029__c01"", ""stage5_n1__from__n0087__c01""]",0.013442136806206297,0.4839169250234267,epsilon_exploit,stage1_n1__from__root__c01,stage1_n1,"[""stage1_n1"", ""stage2_n3"", ""stage3_n3"", ""stage4_n2"", ""stage5_n1""]",ps_favored_v10_decoy_branch_post_switch,False,False,False,False,True,False,False
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,13,14,post_switch,5,6,0.0,0.01,-0.01,"[""stage1_n5__from__root__c05"", ""stage2_n3__from__n0005__c01"", ""stage3_n3__from__n0020__c01"", ""stage4_n3__from__n0065__c02"", ""stage5_n1__from__n0187__c01""]",0.0028812847709251657,0.13906986538550953,epsilon_exploit,stage1_n5__from__root__c05,stage1_n5,"[""stage1_n5"", ""stage2_n3"", ""stage3_n3"", ""stage4_n3"", ""stage5_n1""]",ps_favored_v10_one_barrier_post_switch,False,False,False,False,False,False,False
