run,episode_index,dataset_index,oracle_action,final_action,transition,cause,terminal,total,pattern,pair,shared,missing_blockers,missing_tools,replay_tools,terminal_reasons,suffix,original_task_id
old,25,2,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,12.0,17.136605,dfdfd on fdddd,mostly_deep_vs_mostly_deep_required,True,break_apn_mms_setting|break_app_storage_permission,grant_app_permission|reboot_device|reset_apn_settings,toggle_airplane_mode|reseat_sim_card|set_network_mode_preference|toggle_wifi_calling,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12,stage4_n4__from__n0037__c03 > stage5_n1__from__n0108__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,26,9,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_terminal_decision,12.0,16.8424,dfddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12,stage4_n3__from__n0035__c02 > stage5_n2__from__n0101__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
old,27,10,repair_subset,repair_subset,matched_terminal_action,policy_action_violation,6.0,10.202020000000001,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,clear_but_aux_failure_floor_6,stage4_n2__from__n0064__c01 > stage5_n1__from__n0182__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
old,28,13,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_with_missing_oracle_repair_tools,15.0,19.608275,fddfd on fdddd,mostly_deep_vs_mostly_deep_required,True,bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions,grant_app_permission|reboot_device|reset_apn_settings|set_network_mode_preference|toggle_wifi_calling,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12,stage4_n4__from__n0070__c03 > stage5_n1__from__n0204__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
old,29,16,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.704025000000001,fdfdd on fdddd,mostly_deep_vs_mostly_deep_required,False,,,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n5__from__n0072__c04 > stage5_n5__from__n0211__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
old,30,32,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.61414,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0023__c01 > stage5_n1__from__n0074__c01,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,31,33,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.56364,ffddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n5__from__n0031__c04 > stage5_n2__from__n0096__c01,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None]
old,32,34,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.8637200000000003,dfddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n3__from__n0047__c02 > stage5_n1__from__n0134__c01,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy]
old,33,35,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.74798,ddddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0042__c01 > stage5_n2__from__n0121__c02,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
old,34,36,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.74192,ffddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n2__from__n0031__c01 > stage5_n2__from__n0093__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
