method,episode_index,episode_1based,phase,schedule_phase,repeat_index,position_in_cycle,dataset_index,original_task_id,expected_terminal_action,oracle_action,final_action,terminal_cost,reasoning_cost,total_cost,exact_match,subset_mismatch,policy_violation_count,actual_modes,required_modes,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,actual_majority,required_majority,majority_pair,mismatch_bucket,post_switch_probability_freeze_active,post_switch_probability_freeze_mode,root_child_id,root_selection_mode,leaf_type,selected_shared_path,selected_unshared_path,clear_execution_success,assistant_side_required,assistant_side_tool_calls,assistant_execution_status,assistant_execution_success
direct_multistage_exp3,0,1,pre_switch,trap_pre_switch,0,0,19,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],repair_all,repair_all,repair_all,1.5,5.163465,6.734365,False,True,0,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,1,2,pre_switch,trap_pre_switch,0,1,13,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],repair_all,repair_all,repair_all,0.0,4.564055,4.630955,True,False,0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n2__from__root__c02,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,2,3,pre_switch,trap_pre_switch,0,2,7,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,4.69529,4.76549,True,False,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,3,4,pre_switch,trap_pre_switch,0,3,25,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],repair_subset,repair_subset,repair_subset,6.0,5.319945,11.398344999999999,False,True,1,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n2__from__root__c02,direct_exploit,unshared,False,True,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,4,5,pre_switch,trap_pre_switch,0,4,36,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,1.5,4.134205,5.7002049999999995,False,True,0,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n2__from__root__c02,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,5,6,pre_switch,trap_pre_switch,0,5,18,[mms_issue]bad_network_preference[PERSONA:None],repair_all,repair_all,repair_all,1.5,3.47242,5.04642,False,True,0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,2,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n1__from__root__c01,direct_exploit,unshared,False,True,False,False,0,not_required,
direct_multistage_exp3,6,7,pre_switch,trap_pre_switch,0,6,24,[mms_issue]bad_network_preference|break_app_storage_permission[PERSONA:None],repair_all,repair_all,repair_all,1.5,4.53687,6.102970000000001,False,True,0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n3__from__root__c03,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,7,8,pre_switch,trap_pre_switch,0,7,23,[mms_issue]bad_wifi_calling[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,7.02191,7.09311,True,False,0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,2,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n1__from__root__c01,direct_exploit,unshared,False,True,True,False,0,not_required,
direct_multistage_exp3,8,9,pre_switch,trap_pre_switch,0,8,61,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,12.032765,12.104365,True,False,0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n1__from__root__c01,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,9,10,pre_switch,trap_pre_switch,0,9,0,[mms_issue]break_app_both_permissions[PERSONA:Hard],repair_all,repair_all,repair_all,1.5,4.18844,5.75624,False,True,0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,2,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,False,False,0,not_required,
