episode_index,repeat_index,position_in_cycle,dataset_index,original_task_id,oracle_action,seed1_terminal,seed0_terminal,terminal_delta,seed1_final,seed0_final,seed1_clear,seed0_clear,seed1_aux,seed0_aux,seed1_exact,seed0_exact,seed1_majority_pair,seed0_majority_pair,seed1_actual_modes,seed0_actual_modes,path_changed,root_changed,seed1_root,seed0_root,seed1_shared,seed0_shared,seed1_reasons,seed0_reasons,seed1_observed_loss,seed0_observed_loss,seed1_path_prob,seed0_path_prob,seed1_shared_delta,seed0_shared_delta,seed1_shared_weight_before,seed1_shared_weight_after,seed0_shared_weight_before,seed0_shared_weight_after
25,2,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,12.0,10.0,2.0,repair_subset,repair_subset,False,False,False,True,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,deep/fast/deep/fast/deep,fast/fast/deep/deep/deep,True,True,stage1_n2__from__root__c02,stage1_n1__from__root__c01,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,0.4614056273559504,0.38260446957458266,0.0021525783139491636,0.01711286212482858,-0.9999778464060305,-0.6730296150171836,1.0,2.2153593969496156e-05,1.0,0.3269703849828164
26,2,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,12.0,6.0,6.0,repair_subset,repair_subset,False,True,False,False,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,True,True,stage1_n2__from__root__c02,stage1_n5__from__root__c05,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,clear_but_aux_failure_floor_6,0.4534841141626279,0.2740745826602046,0.0023439653025161336,0.007310080258930794,-0.9999370669530429,-0.8465889817822845,1.0,6.293304695716121e-05,1.0,0.15341101821771552
27,2,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,6.0,22.5,-16.5,repair_subset,transfer,True,False,False,False,True,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,True,True,stage1_n4__from__root__c04,stage1_n5__from__root__c05,True,True,clear_but_aux_failure_floor_6,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,0.27469089929994617,0.7176491653204092,0.003257515497709996,0.008497779149837854,-0.9852463370328727,-0.9853390669173192,1.0,0.014753662967127367,1.0,0.014660933082680766
28,2,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,15.0,17.0,-2.0,repair_subset,repair_subset,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/deep/deep/fast/deep,fast/fast/deep/deep/deep,True,True,stage1_n5__from__root__c05,stage1_n1__from__root__c01,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,0.5279557081313947,0.5813209477652127,0.003805742525346203,0.0027374941296686374,-0.9990281446239354,-0.9999755225182332,1.0,0.0009718553760646341,1.0,2.447748176676064e-05
29,2,9,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/deep/fast/deep/deep,fast/deep/fast/deep/deep,True,True,stage1_n5__from__root__c05,stage1_n4__from__root__c04,False,True,,,0.12665656973613357,0.14192568659127625,0.003183837005689494,0.004530824298805107,,-0.7911676882205336,,,1.0,0.20883231177946637
30,3,0,32,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/deep/deep/deep/deep,fast/fast/deep/deep/deep,True,False,stage1_n1__from__root__c01,stage1_n1__from__root__c01,True,True,,,0.09731125471190091,0.09485891222401724,0.03966051100584489,0.008970424359061716,-0.11545357859362304,-0.4106478904094121,1.0,0.884546421406377,1.0,0.5893521095905879
31,3,1,33,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/fast/deep/deep/deep,deep/fast/deep/deep/deep,True,True,stage1_n1__from__root__c01,stage1_n2__from__root__c02,True,True,,,0.09595153473344104,0.11549757673667205,0.005074308215062677,0.00903196568119858,-0.6115008107202917,-0.4723817578186026,1.0,0.38849918927970833,1.0,0.5276182421813974
32,3,2,34,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,deep/fast/deep/deep/deep,deep/deep/deep/deep/deep,True,False,stage1_n3__from__root__c03,stage1_n3__from__root__c03,True,True,,,0.10403123317178245,0.10526790522347873,0.003250191766142779,0.030198537414186506,-0.7981814150885693,-0.15994931720865468,1.0,0.2018185849114307,1.0,0.8400506827913453
33,3,3,35,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,deep/deep/deep/deep/deep,deep/fast/fast/deep/deep,True,False,stage1_n3__from__root__c03,stage1_n3__from__root__c03,True,True,,,0.1278400646203554,0.13217635971997846,0.012183089663898314,0.002991933617102406,-0.4082446095827462,-0.890176258542856,1.0,0.5917553904172538,1.0,0.10982374145714403
34,3,4,36,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None],repair_all,0.0,0.0,0.0,repair_all,repair_all,True,True,True,True,True,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,True,True,stage1_n1__from__root__c01,stage1_n5__from__root__c05,True,True,,,0.10075175013462574,0.0885764674205708,0.006361511750802205,0.0004793187052261807,-0.5470100226759076,-0.9999029059090158,1.0,0.45298997732409246,1.0,9.709409098427037e-05
